ID,Ente di riferimento,Dipartimento,Altri enti,Nome Progetto (Codice univoco a cura del compilatore),risultati,luogo,LAT_WGS84,LON_WGS84,livello (M=città metrop; C=comune; S=sito),principali dati oggetto della ricerca a disposizione,formato del dato,Tipologia di sito,Crierio di scelta del sito,altre info monitorate di cui si possiede dato,Taxon monitorato (1),Componente monitorata (1),Anni di riferimento (dal 2010 in avanti),vista streetview
POLIMI1,Politecnico di Milano,,,Forestami,www.forestami.org,Città Metropolitana di Milano,45.48336,9.21683,M,"tree canopy cover, aree potenziali di piantagione, temperatura suoli, tipologia piante selezionate",GIS; excel,"urbano, periurbano","inquinamento ambientale, gradiente di temperatura","uso del suolo,temperature",,,2018-ongoing,
POLIMI2,Politecnico di Milano,,,Prato,report,Comune di Prato,43.87567,11.08461,C,"aree potenziali forestazione,  temperatura suoli, tipologia piante selezionate",GIS; excel,"urbano, periurbano",pilota individuati per importanza,"uso del suolo,temperature",,,2021,
POLIMI3,Politecnico di Milano,,Università degli Studi di Firenze,AerialWaste,dataset,"Brescia, Pavia, Lodi, Cremona, Milano, Bergamo, Monza e della Brianza, Lecco, Como, Mantova, Varese",,,S,aree potenziali con siti di scarico illegale di rifiuti,JSON; png,varie,rilevati da esperti in fotointerpretazione,"evidenza e severità, per un sottoinsieme delle località, tipo di rifiuti presente",,,2018- 2021,
POLIMI4,Politecnico di Milano,,,Piano Territoriale Regionale | Progetto di Valorizzazione del Paesaggio,https://www.geoportale.regione.lombardia.it,Regione Lombardia,,,,,GIS; excel,varie,"differenti tematismi di analisi su: habitat quality, processi di antoripizzazione del suolo, valori paesaggistici, valori e pressioni del paesaggio rurale",,,,2018,
POLIMI5,Politecnico di Milano,,,Agenda urbana per lo sviluppo sostenibile di Città Metriopolitana di Milano,report+dataset,Città Metropolitana di Milano,45.48336,9.21683,,,GIS,varie,"Indicatori relativi a: dotazioni ambientali, permeabilità del suolo, consumo di suolo, mobilità ciclabile, rete ecologica, aree di rigenerazione",,,,2022,
UNIMIB1,Università degli Studi di Milano-Bicocca,ZOOPLANTLAB,,UNIMIB_ZPL_polecosyservice,https://besjournals.onlinelibrary.wiley.com/doi/10.1111/1365-2664.14168     ,Giussago_'cassin2',45.29205,9.11707,S,Componente zuccherina nettari dei fiori,excel,Naturale,Gradiente di cementificazione,"Land Use e frammentazione,temperature,precipitazioni",Piante,Proprietà fitochimiche nettare,2019,
UNIMIB2,Università degli Studi di Milano-Bicocca,ZOOPLANTLAB,,UNIMIB_ZPL_polecosyservice,https://besjournals.onlinelibrary.wiley.com/doi/10.1111/1365-2664.14168     ,Giussago_'cassin2',45.29205,9.11707,S,Abbondanze insetti volatori (impollinatori),excel,Naturale,Gradiente di cementificazione,"Land Use e frammentazione,temperature,precipitazioni",Insetti,Abbondanze,2019,
UNIMIB3,Università degli Studi di Milano-Bicocca,ZOOPLANTLAB,,UNIMIB_ZPL_polecosyservice,https://besjournals.onlinelibrary.wiley.com/doi/10.1111/1365-2664.14168     ,Giussago_'cassin1',45.29416,9.12780,S,Componente zuccherina nettari dei fiori,excel,Naturale,Gradiente di cementificazione,"Land Use e frammentazione,temperature,precipitazioni",Piante,Proprietà fitochimiche nettare,2019,
UNIMIB4,Università degli Studi di Milano-Bicocca,ZOOPLANTLAB,,UNIMIB_ZPL_polecosyservice,https://besjournals.onlinelibrary.wiley.com/doi/10.1111/1365-2664.14168     ,Giussago_'cassin1',45.29416,9.12780,S,Interazioni pianta-impollinatore,excel,Naturale,Gradiente di cementificazione,"Land Use e frammentazione,temperature,precipitazioni",Insetti,Plant Insects interactions (Api e Sirfidi),2019,
UNIMIB5,Università degli Studi di Milano-Bicocca,ZOOPLANTLAB,,UNIMIB_ZPL_polecosyservice,https://besjournals.onlinelibrary.wiley.com/doi/10.1111/1365-2664.14168     ,Giussago_'cassin1',45.29416,9.12780,S,Abbondanze insetti volatori (impollinatori),excel,Naturale,Gradiente di cementificazione,"Land Use e frammentazione,temperature,precipitazioni",Insetti,Abbondanze,2019,
UNIMIB6,Università degli Studi di Milano-Bicocca,ZOOPLANTLAB,,UNIMIB_ZPL_polecosyservice,https://besjournals.onlinelibrary.wiley.com/doi/10.1111/1365-2664.14168     ,Casarile_'porchera2',45.30556,9.08504,S,Componente zuccherina nettari dei fiori,excel,Agricolo,Gradiente di cementificazione,"Land Use e frammentazione,temperature,precipitazioni",Piante,Proprietà fitochimiche nettare,2019,
